City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Mehamn,NO,2022-10-02 12:58:16,71.0357,27.8492,42.71000000000008,87,100,2.32
165,Vanderhoof,CA,2022-10-02 12:58:17,54.0166,-124.0198,50.32400000000001,81,42,1.4
166,Sao Filipe,CV,2022-10-02 12:58:17,14.8961,-24.4956,77.81000000000009,73,47,3.42
167,Lichtenburg,ZA,2022-10-02 12:58:17,-26.152,26.1597,92.66000000000008,11,0,3.93
168,Lodja,CD,2022-10-02 12:55:11,-3.4833,23.4333,81.28399999999999,61,100,2.64
169,Khatanga,RU,2022-10-02 12:58:18,71.9667,102.5,22.910000000000082,96,100,4.92
170,La Primavera,CO,2022-10-02 12:59:19,5.4906,-70.4092,74.89400000000008,84,100,1.72
171,Williston,US,2022-10-02 12:56:56,48.147,-103.618,52.03399999999999,89,66,0.89
172,Bolitoc,PH,2022-10-02 12:59:19,15.7395,119.8769,81.37400000000002,78,100,2.44
173,Ust-Kuyga,RU,2022-10-02 12:59:20,70.0167,135.6,15.044000000000072,87,83,1.43
174,Hamilton,US,2022-10-02 12:59:21,39.1834,-84.5333,57.2,86,0,1.79
175,Yumen,CN,2022-10-02 12:59:21,40.2833,97.2,43.592,17,26,7.28
176,Thompson,CA,2022-10-02 12:58:16,55.7435,-97.8558,41.162000000000056,70,40,2.57
177,Rengasdengklok,ID,2022-10-02 12:59:22,-6.1592,107.2981,81.44600000000005,73,99,3.57
178,Otterup,DK,2022-10-02 12:59:22,55.5153,10.3976,59.88200000000002,63,3,8.43
179,Oktyabrskiy,RU,2022-10-02 12:59:23,54.4815,53.471,57.56000000000009,45,100,7.72
180,Kavieng,PG,2022-10-02 12:59:23,-2.5744,150.7967,81.77000000000007,75,54,4.42
181,Edson,CA,2022-10-02 12:59:24,53.5835,-116.4356,44.74400000000007,100,0,2.57
182,Hasaki,JP,2022-10-02 12:59:24,35.7333,140.8333,70.19600000000005,61,6,3.37
183,Shestakovo,RU,2022-10-02 12:59:25,56.4915,103.96,31.748000000000026,97,100,2.88
184,Ati,TD,2022-10-02 12:59:25,13.2154,18.3353,101.55200000000008,16,66,2.43
185,Kidal,ML,2022-10-02 12:59:26,18.4411,1.4078,100.41800000000009,20,98,2.84
186,Jiwani,PK,2022-10-02 12:59:27,25.05,61.7417,81.57200000000003,75,0,5.82
187,Itarema,BR,2022-10-02 12:59:27,-2.9248,-39.9167,87.62000000000006,54,24,7.61
188,Roma,US,2022-10-02 12:59:27,43.2128,-75.4557,52.71800000000009,70,100,1.34
189,Vestmanna,FO,2022-10-02 12:59:28,62.1564,-7.1664,50.91800000000009,82,75,7.72
190,Rumoi,JP,2022-10-02 12:59:28,43.9344,141.6428,62.61800000000009,88,80,2.38
191,Saint-Francois,FR,2022-10-02 12:59:29,46.4154,3.9054,71.042,56,75,5.14
192,Makakilo City,US,2022-10-02 12:59:29,21.3469,-158.0858,73.61600000000001,88,0,1.57
193,Lasa,IT,2022-10-02 12:59:30,46.6166,10.7002,64.68800000000005,67,39,1.79
194,Sal,JO,2022-10-02 12:59:30,32.5694,35.9119,87.80000000000001,29,0,7.61
195,Pierre,US,2022-10-02 12:59:31,44.3683,-100.351,64.27400000000002,62,100,3.13
196,Saskylakh,RU,2022-10-02 12:59:31,71.9167,114.0833,26.312000000000058,94,100,6.95
197,Makat,KZ,2022-10-02 12:59:31,47.6469,53.3463,68.32400000000001,28,65,7.55
