City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Nancha,CN,47.13,129.27,29.55,59,5,1.72,clear sky
259,Tiarei,PF,-17.53,-149.33,73.42,74,41,11.5,light rain
260,Andenes,NO,69.31,16.12,46.92,83,20,4.63,few clouds
261,Bilibino,RU,68.05,166.44,21.2,87,100,3.51,overcast clouds
262,Te Anau,NZ,-45.42,167.72,27.77,93,72,0.94,light snow
263,Roma,US,43.21,-75.46,64.72,62,0,0.45,clear sky
264,Kristiansund,NO,63.11,7.73,50.05,87,75,10.8,shower rain
265,Pathein,MM,16.78,94.73,77.04,91,74,1.99,broken clouds
266,Severomorsk,RU,69.07,33.42,41.4,88,97,3.13,overcast clouds
267,Mount Isa,AU,-20.73,139.5,69.57,100,49,1.54,scattered clouds
268,Timra,SE,62.49,17.33,53.67,87,20,2.06,few clouds
269,Komsomolskiy,UZ,40.43,71.72,63.32,23,100,3.09,overcast clouds
270,Tarifa,ES,36.01,-5.61,78.82,78,4,7.27,clear sky
271,Lebu,CL,-37.62,-73.65,54.95,72,31,3.01,scattered clouds
272,Kirakira,SB,-10.45,161.92,79.99,79,68,3.0,broken clouds
273,Garowe,SO,8.41,48.48,85.8,41,91,8.15,overcast clouds
274,Le Port,RE,-20.94,55.29,73.36,78,34,1.45,scattered clouds
275,Scarborough,GB,54.28,-0.4,54.97,86,100,2.68,overcast clouds
276,Bambanglipuro,ID,-7.95,110.28,76.95,84,100,2.7,overcast clouds
277,Hegang,CN,47.4,130.37,30.29,55,5,2.89,clear sky
278,Bonthe,SL,7.53,-12.51,82.83,71,72,5.25,broken clouds
279,Bud,US,39.45,-86.18,72.75,43,35,1.17,scattered clouds
280,Pudozh,RU,61.81,36.53,42.17,90,64,1.3,broken clouds
281,Matranovak,HU,48.04,19.98,55.49,66,100,1.53,overcast clouds
282,Esperance,AU,-33.87,121.9,55.44,64,100,8.27,overcast clouds
283,Octeville,FR,49.63,-1.64,59.49,82,100,9.77,overcast clouds
284,Ouesso,CG,1.61,16.05,82.69,70,88,0.27,overcast clouds
285,Nguruka,TZ,-5.11,31.04,83.03,19,69,2.06,broken clouds
286,Teya,RU,60.38,92.63,32.0,98,100,2.02,light snow
287,Henties Bay,NA,-22.12,14.28,58.01,82,12,5.42,few clouds
288,Chapais,CA,49.78,-74.85,53.38,95,100,3.0,overcast clouds
289,Catamarca,AR,-28.47,-65.79,77.07,36,2,4.92,clear sky
290,Hokitika,NZ,-42.72,170.97,33.58,64,9,2.5,clear sky
291,Tiznit,MA,29.58,-9.5,79.25,40,73,3.87,broken clouds
292,Jumla,NP,29.27,82.18,56.37,92,100,1.96,overcast clouds
293,Inirida,CO,3.87,-67.92,93.54,49,86,0.1,overcast clouds
294,Santiago Del Estero,AR,-27.8,-64.26,87.84,24,10,5.79,clear sky
295,Mendoza,AR,-32.89,-68.83,55.29,59,100,3.54,overcast clouds
296,Praia,CV,14.92,-23.51,86.54,70,20,4.12,few clouds
