City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Duekoue,CI,79.99,light rain,6.75,-7.35,Résidence Doué
668,Eyl,SO,79.07,broken clouds,7.98,49.82,Amiin Guest House
672,Tabou,CI,80.2,light rain,4.42,-7.35,hotêl doufoulougou
678,Batticaloa,LK,81.09,overcast clouds,7.71,81.69,Grand Star Guest House
681,Varzea Da Palma,BR,86.05,broken clouds,-17.6,-44.73,Casa Fernandes
682,Porto Novo,BJ,84.02,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
685,Safaga,EG,85.95,clear sky,26.73,33.94,Lamar Resort Abu Soma
686,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
687,Kasempa,ZM,84.88,clear sky,-13.46,25.83,Jipumpu Guest House
691,Turbat,PK,84.58,clear sky,26.0,63.04,Mubashar Quarters
693,Moroni,KM,75.24,broken clouds,-11.7,43.26,Hotel Les Arcades
694,Alyangula,AU,78.58,broken clouds,-13.85,136.42,Groote Eylandt Lodge
696,Puerto Carreno,CO,87.78,scattered clouds,6.19,-67.49,Casa Hotel Victoria
699,Marrakesh,MA,85.37,overcast clouds,31.63,-8.01,Les Jardins de La Koutoubia
700,Singaraja,ID,79.16,overcast clouds,-8.11,115.09,Puri Bagus Lovina Resort
701,Manbij,SY,79.68,overcast clouds,36.53,37.95,Manbej City Hotel
704,Ferkessedougou,CI,86.58,light rain,9.6,-5.2,Hotel Chateau
705,Sharjah,AE,89.58,clear sky,25.36,55.4,Swiss Belhotel Sharjah
707,Acapulco,MX,84.02,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
